bestand;status;artikeltype;titel;technische_punten;redactionele_punten;fixes_toegepast
homeyduino-esp32-c3-c6-compatibiliteit.html;AANDACHT;howto;Homeyduino geschikt maken voor moderne ESP32 boards (C3 & C6);canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homeyduino-ld2410-aanwezigheidssensor.html;AANDACHT;howto;LD2410 aanwezigheids-sensor maken met Homeyduino en ESP32;2 openende <body>-tags | 2 sluitende </body>-tags | canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homeyduino-licht-temperatuur-sensor.html;AANDACHT;howto;Bouw je eigen licht- en klimaatsensor met Homeyduino (LDR + DHT11);canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homeyduino-multi-relais.html;AANDACHT;howto;4-kanaals relaismodule aansturen met Homeyduino en een Wemos D1 Mini;2 openende <body>-tags | 2 sluitende </body>-tags | canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homeyduino-temperatuursensor-ds18b120.html;AANDACHT;howto;Bouw je eigen DS18B20 temperatuursensor met Homeyduino;2 openende <body>-tags | 2 sluitende </body>-tags | canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
homeyscript-stroomprijs-vandaag-morgen.html;AANDACHT;howto;HomeyScript: laat Homey automatisch de goedkoopste stroomuren vinden;canonical ontbreekt | hv-schema-type ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
HVV-matter-installer.html;AANDACHT;howto;Installeer de HVV Matter Sensor eenvoudig vanuit je browser;canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
keukendeur-herinnering-slim-google-home-tutorial.html;AANDACHT;howto;Keukendeur herinnering slim maken in Google Home Script Editor;2 openende <body>-tags | 2 sluitende </body>-tags | script.js wordt 2× geladen | canonical ontbreekt | hv-schema-type ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
matter-en-thread-uitgelegd.html;AANDACHT;techarticle;Wat is het verschil tussen Matter en Thread?;2 openende <body>-tags | 2 sluitende </body>-tags | canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
review-hue-st64-edison.html;AANDACHT;review;Philips Hue ST64 Edison E27 review;canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort oordeel ontbreekt | testcontext ontbreekt;
review-nest-wifi-pro.html;AANDACHT;review;Nest Wifi Pro review: snel, stabiel en gezinsvriendelijk mesh wifi;canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort oordeel ontbreekt | testcontext ontbreekt;
review-roomba-irobot-i7.html;AANDACHT;review;iRobot Roomba i7+ review: nog steeds de moeite waard?;2 openende <body>-tags | 2 sluitende </body>-tags | canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort oordeel ontbreekt | testcontext ontbreekt;
robotstofzuiger-homey-tutorial.html;AANDACHT;howto;Laat je robotstofzuiger slim schoonmaken met Homey;canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
slimme-lampen-voor-homey-vergeleken.html;AANDACHT;techarticle;Slimme lampen voor Homey vergeleken: Hue, IKEA, Innr, WiZ en Nanoleaf;2 openende <body>-tags | 2 sluitende </body>-tags | canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
waarom-dit-blog-bestaat.html;AANDACHT;techarticle;Waarom dit blog bestaat;canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
wat-is-homeyduino.html;AANDACHT;techarticle;Wat is Homeyduino en wat kun je ermee?;2 openende <body>-tags | 2 sluitende </body>-tags | canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
wat-je-hebt-gemist-juli-2026.html;AANDACHT;techarticle;Zelf bouwen met Matter;canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
wat-je-hebt-gemist-juni-2026.html;AANDACHT;techarticle;Wat je hebt gemist;canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
wat-kun-je-doen-met-homey.html;AANDACHT;techarticle;Wat kun je doen met Homey? Praktische toepassingen en inspiratie;canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
zelf-een-matter-sensor-bouwen.html;AANDACHT;techarticle;Zelf een Matter-sensor bouwen: van eerste idee tot werkende Web Installer;2 openende <body>-tags | 2 sluitende </body>-tags | canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt | bronnenblok ontbreekt;
zonne-flows-homey-tutorial.html;AANDACHT;howto;Zonne Flows in Homey maken: slim schakelen op zon, regen en zonnestraling;2 openende <body>-tags | 2 sluitende </body>-tags | script.js wordt 2× geladen | canonical ontbreekt | publish_date ontbreekt | modified_date ontbreekt | author-meta ontbreekt | robots-meta ontbreekt | affiliate-products.js mist defer/async;Open Graph metadata ontbreekt | zichtbare auteur/datum ontbreekt | Kort antwoord ontbreekt;
